Provinsi,Angkatan_Kerja_2025,Perusahaan_Mikro_2023,Perusahaan_Kecil_2023,TK_Mikro_2023,TK_Kecil_2023,Output_Mikro_2023,Output_Kecil_2023,Persen_Formal_2023,Persen_Informal_2023,Rata_Upah_Feb_2023,TPT_Feb_2025,Tamat_SD_2023,Tamat_SMP_2023,Tamat_SMA_2023,Produktivitas_Mikro,Produktivitas_Kecil
ACEH,2704621.0,106527.0,3999.0,174854.0,24650.0,7840333.0,2092181.0,40.14,59.86,4276244.0,5.5,99.08,94.55,74.46,44.83931165429444,84.87549695740366
SUMATERA UTARA,8108338.0,119539.0,7368.0,211161.0,53998.0,11334254.0,3744842.0,41.48,58.52,3112921.0,5.05,98.75,94.35,74.43,53.67588711930707,69.35149449979629
SUMATERA BARAT,3157912.0,84077.0,4144.0,141426.0,27270.0,8303610.0,4331998.0,35.81,64.19,3527098.0,5.69,95.81,90.65,68.64,58.713461456874974,158.85581224789146
RIAU,3224809.0,60273.0,2090.0,108381.0,15415.0,6861660.0,1464036.0,47.87,52.13,3628740.0,4.12,98.09,90.52,67.79,63.310543360921194,94.9747648394421
JAMBI,1884335.0,33742.0,792.0,57183.0,5333.0,3754580.0,367439.0,40.27,59.73,3838181.0,4.48,97.76,89.35,66.62,65.65902453526398,68.89911869491843
SUMATERA SELATAN,4674059.0,75282.0,1934.0,133137.0,13824.0,9582740.0,1627565.0,37.03,62.97,3429398.0,3.89,97.58,87.95,64.81,71.97653544844783,117.73473668981481
BENGKULU,1142038.0,25595.0,936.0,49210.0,7558.0,2757286.0,657615.0,32.23,67.77,3914419.0,3.24,97.1,89.25,63.41,56.03100995732575,87.00912939931199
LAMPUNG,5085865.0,77575.0,3680.0,148658.0,26515.0,9870331.0,6209407.0,29.33,70.67,3349907.0,4.07,98.67,87.67,64.54,66.39623161888362,234.18468791250237
KEP. BANGKA BELITUNG,796206.0,15776.0,486.0,26903.0,3559.0,1783702.0,358781.0,48.93,51.07,,4.17,96.01,87.11,68.96,66.30123034605806,100.80949704973307
KEP. RIAU,1091754.0,25873.0,394.0,39612.0,3245.0,2548181.0,414147.0,66.33,33.67,,6.89,97.92,95.51,78.97,64.32851156215288,127.62619414483821
DKI JAKARTA,5475996.0,69072.0,10920.0,132836.0,93845.0,15876866.0,11595842.0,63.77,36.23,3976627.0,6.18,98.66,95.85,88.1,119.52231322834172,123.56377004635303
JAWA BARAT,26801797.0,584903.0,56736.0,1127656.0,451359.0,85293391.0,73199368.0,44.85,55.15,3422136.0,6.74,99.09,91.42,66.47,75.63777517257036,162.1754922356705
JAWA TENGAH,21871210.0,811039.0,51887.0,1403785.0,378564.0,62719869.0,46337315.0,39.61,60.39,3228765.0,4.33,98.42,90.64,58.35,44.6791132545226,122.40285658435562
DI YOGYAKARTA,2239755.0,129289.0,4736.0,215124.0,35241.0,7289706.0,2375660.0,46.22,53.78,3797508.0,3.18,98.95,97.02,89.69,33.88606571093881,67.4118214579609
JAWA TIMUR,24759195.0,862057.0,115414.0,1544605.0,954320.0,72991193.0,33061045.0,36.89,63.11,3813432.0,3.61,98.78,90.74,68.65,47.25557213656566,34.64356295582195
BANTEN,6213959.0,90908.0,6184.0,160393.0,53137.0,11656867.0,6435070.0,53.69,46.31,2966468.0,6.64,97.15,90.86,70.07,72.67690609939336,121.10337429662947
BALI,2737155.0,120752.0,5035.0,192371.0,38045.0,11143778.0,4451841.0,47.65,52.35,3703937.0,1.58,98.43,93.03,76.51,57.92857551294114,117.01513996582993
NUSA TENGGARA BARAT,3190742.0,131958.0,18004.0,202080.0,135869.0,7918908.0,7985825.0,27.7,72.3,3487653.0,3.22,98.11,92.95,63.66,39.18699524940617,58.775916507812674
NUSA TENGGARA TIMUR,3075632.0,124566.0,1374.0,204304.0,7970.0,4192203.0,408084.0,25.49,74.51,3546313.0,3.23,93.41,82.48,43.46,20.519436721747983,51.202509410288584
KALIMANTAN BARAT,2914751.0,47435.0,1021.0,75919.0,7750.0,3578667.0,819478.0,40.31,59.69,4240063.0,4.23,95.33,81.56,55.58,47.13796282880438,105.73909677419356
KALIMANTAN TENGAH,1498188.0,27952.0,599.0,45760.0,4062.0,3033972.0,536225.0,48.14,51.86,4051779.0,3.47,97.47,88.92,63.93,66.30183566433567,132.01009354997538
KALIMANTAN SELATAN,2243446.0,64528.0,2842.0,98509.0,19364.0,4627675.0,3193035.0,44.75,55.25,4082215.0,3.94,95.99,88.19,68.35,46.977179750073596,164.89542449907043
KALIMANTAN TIMUR,2123156.0,34586.0,1055.0,58397.0,7625.0,5401971.0,1433796.0,55.33,44.67,3951519.0,5.33,97.88,94.85,73.63,92.50425535558334,188.03881967213115
KALIMANTAN UTARA,390745.0,5763.0,207.0,9748.0,1377.0,565595.0,211838.0,48.62,51.38,4008374.0,3.9,96.41,88.08,59.5,58.02164546573656,153.840232389252
SULAWESI UTARA,1378050.0,59112.0,1849.0,101403.0,12593.0,3545825.0,375045.0,41.86,58.14,5205588.0,6.03,96.18,92.07,67.57,34.967653816948214,29.78202175811959
SULAWESI TENGAH,1645117.0,69057.0,7072.0,137410.0,44840.0,4185859.0,966456.0,33.9,66.1,3479423.0,3.02,97.56,90.05,55.69,30.46255003274871,21.55343443354148
SULAWESI SELATAN,4816385.0,119613.0,4313.0,209167.0,28444.0,11747217.0,3117399.0,37.23,62.77,5126459.0,4.96,98.37,88.74,67.41,56.16190412445558,109.5977710589228
SULAWESI TENGGARA,1429811.0,47415.0,1738.0,93082.0,10877.0,4570758.0,659691.0,38.16,61.84,3953538.0,3.27,97.83,89.55,68.28,49.104638920521694,60.65008734025926
GORONTALO,634987.0,38089.0,836.0,64914.0,6101.0,2037987.0,427021.0,36.27,63.73,3760804.0,3.12,93.69,83.71,46.19,31.395184397818653,69.99196852974922
SULAWESI BARAT,789634.0,21947.0,541.0,38023.0,3417.0,1223779.0,263770.0,26.65,73.35,2909318.0,3.17,95.13,84.04,54.79,32.18522999237304,77.1934445419959
MALUKU,990634.0,61308.0,199.0,89409.0,1252.0,2631043.0,132120.0,34.58,65.42,3871433.0,5.95,98.69,93.9,75.01,29.42704873111208,105.52715654952077
MALUKU UTARA,693143.0,17016.0,322.0,28976.0,2214.0,1322265.0,264553.0,33.92,66.08,4070613.0,4.26,98.3,93.46,64.61,45.633110160132524,119.49096657633243
PAPUA BARAT,308126.0,5553.0,284.0,9702.0,1943.0,977684.0,301088.0,41.45,58.55,4584468.0,4.21,92.69,88.63,59.99,100.77138734281591,154.96037056098817
PAPUA BARAT DAYA,322217.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.61,,,,,
PAPUA,510434.0,12951.0,465.0,24976.0,3190.0,1356713.0,534154.0,15.57,84.43,4985270.0,6.92,80.09,67.12,39.5,54.32066784112748,167.44639498432602
PAPUA SELATAN,227996.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.9,,,,,
PAPUA TENGAH,871780.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.55,,,,,
PAPUA PEGUNUNGAN,1025509.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.68,,,,,
KEPULAUAN BANGKA BELITUNG,,,,,,,,,,3624368.0,,,,,,
KEPULAUAN RIAU,,,,,,,,,,4153003.0,,,,,,
RATA-RATA,,,,,,,,,,3678407.0,,,,,,
CATATAN:,,,,,,,,,,,,,,,,
1)        0/1.,,,,,,,,,,,,,,,,
2.,,,,,,,,,,,,,,,,
3.,,,,,,,,,,,,,,,,
4.,,,,,,,,,,,,,,,,
5.,,,,,,,,,,,,,,,,
6.,,,,,,,,,,,,,,,,
7/8/9.,,,,,,,,,,,,,,,,
X/00.,,,,,,,,,,,,,,,,
