Provinsi,Angka Partisipasi Murni (APM),Gini Ratio,Persentase Penduduk Miskin (P0),Produk Domestik Regional Bruto per Kapita,Rata-Rata Lama Sekolah Penduduk,Harapan Lama Sekolah
ACEH,70.94,0.294,12.64,43782,9.95,14.39
SUMATERA UTARA,69.72,0.306,7.19,73575,10.18,13.49
SUMATERA BARAT,72.5,0.287,5.42,57047,9.72,14.3
RIAU,68.04,0.306,6.36,165350,9.69,13.42
JAMBI,62.48,0.315,7.26,86722,9.26,13.14
SUMATERA SELATAN,62.7,0.331,10.51,75132,8.98,12.64
BENGKULU,69.14,0.343,12.52,49233,9.4,13.75
LAMPUNG,64.54,0.301,10.62,51370,8.8,12.78
BANGKA BELITUNG,61.71,0.235,5.08,70194,8.78,12.49
KEPULAUAN RIAU,77.54,0.357,4.78,161424,10.65,13.27
JAKARTA RAYA,64.85,0.431,4.14,344350,11.49,13.51
JAWA BARAT,60.68,0.428,7.08,56080,9.24,12.8
JAWA TENGAH,62.56,0.364,9.58,47972,8.47,12.86
YOGYAKARTA,77.86,0.428,10.4,51473,10.23,15.7
JAWA TIMUR,64.77,0.373,9.56,75770,8.69,13.43
BANTEN,63.5,0.359,5.7,70276,9.55,13.1
BALI,74.19,0.348,3.8,67319,9.87,13.62
NUSA TENGGARA BARAT,71.09,0.364,11.91,32282,8.5,13.98
NUSA TENGGARA TIMUR,60.73,0.316,19.02,24272,8.48,13.23
KALIMANTAN BARAT,57.18,0.314,6.25,52703,8.28,12.68
KALIMANTAN TENGAH,58.05,0.304,5.26,79320,9.17,12.77
KALIMANTAN SELATAN,60.26,0.298,4.02,67117,9.02,12.87
KALIMANTAN TIMUR,72.37,0.31,5.51,212175,10.22,14.03
KALIMANTAN UTARA,67.9,0.259,5.38,198429,9.58,13.21
SULAWESI UTARA,65.47,0.347,6.7,69352,10.02,12.97
SULAWESI TENGAH,65.62,0.309,11.04,120750,9.28,13.34
SULAWESI SELATAN,62.71,0.36,7.77,73573,9.22,13.55
SULAWESI TENGGARA,66.66,0.365,10.63,67840,9.74,13.71
GORONTALO,61.23,0.413,13.87,44433,8.64,13.17
SULAWESI BARAT,62.1,0.33,10.71,42718,8.56,12.89
MALUKU,69.61,0.291,15.78,32198,10.44,14.09
MALUKU UTARA,68.02,0.296,6.03,70660,9.7,13.75
PAPUA BARAT,61.18,0.385,21.09,131636,9.87,13.17
PAPUA,61.33,0.405,18.09,81009,10.7,13.72
