Negara,Tahun,co2_emisi_per_kapita,gdp_per_kapita,persen_listrik_terbarukan,persen_populasi_urban,persen_akses_listrik,konsumsi_energi_per_orang
Brunei,2023,25.646858,76616.7,0,79.149,100,118224.53
Cambodia,2023,1.1580942,6695.292,44.517067,25.57,95,4590.7
Indonesia,2023,2.6075745,13889.975,18.596691,58.572,99.4,9904.814
Laos,2023,3.235021,8372.156,76.71128,38.247,96.5,10100.2
Malaysia,2023,8.2224455,32812.3,19.158678,78.716,100,37724.656
Myanmar,2023,0.5584913,5364.138,38.186066,32.112,76.8,2457.1155
Philippines,2023,1.3454357,9898.533,21.942446,48.287,98,5298.6797
Singapore,2023,8.507941,129555.24,4.5359383,100,100,171242.7
Thailand,2023,3.6873055,21191.453,15.628117,53.608,100,19360.354
Vietnam,2023,3.335515,13545.935,42.9822,39.48,99.8,13711.078
