Year;GDP (USD Billion)
1967;5.99
1968;6.86
1969;7.85
1970;9.03
1971;10.16
1972;11.59
1973;16.54
1974;25.85
1975;30.33
1976;36.56
1977;43.25
1978;51.10
1979;63.13
1980;85.69
1981;95.27
1982;99.94
1983;93.44
1984;92.51
1985;91.39
1986;84.14
1987;85.87
1988;96.65
1989;106.94
1990;117.84
1991;129.43
1992;141.48
1993;158.42
1994;176.99
1995;202.73
1996;227.35
1997;215.77
1998;95.45
1999;140.02
2000;165.02
2001;160.31
2002;195.67
2003;234.77
2004;256.84
2005;285.92
2006;364.57
2007;432.22
2008;510.23
2009;539.58
2010;755.09
2011;892.54
2012;917.37
2013;912.52
2014;890.81
2015;861.28
2016;932.26
2017;1015.61
2018;1042.24
2019;1119.19
2020;1059.64
2021;1186.51
2022;1319.10
2023;1370.00
